typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","528","NLD","Netherlands","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","169414","false","8","kg","169414","false","169414","false","170.268","false","348389.222","315383.172","348389.222","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","10515","false","8","kg","10515","false","10515","false","19.217","false","42045.927","38953.506","42045.927","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","586","PAK","Pakistan","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14053942.264","false","8","kg","14053942.264","false","14053942.264","false","13951.534","false","18305128.715","17334715.835","18305128.715","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","694","SLE","Sierra Leone","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","500","false","8","kg","500","false","500","false","0","false","12714.45","11264.526","12714.45","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","699","IND","India","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","80112327.696","false","8","kg","80112327.696","false","80112327.696","false","0","false","93445323.177","88309923.446","93445323.177","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","702","SGP","Singapore","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55200","false","8","kg","55200","false","55200","false","76.493","false","72196.96","67920.053","72196.96","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43166201.43","false","8","kg","43166201.43","false","43166201.43","false","0","false","36173433.301","33967749.868","36173433.301","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","710","ZAF","South Africa","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9229.92","false","8","kg","9229.92","false","9229.92","false","0","false","7541.151","7111.157","7541.151","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","724","ESP","Spain","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1222455.82","false","8","kg","1222455.82","false","1222455.82","false","0","false","2086405.944","1959013.35","2086405.944","0","false","true",
"C","A","20250101","2025","52","2025","36","AUS","Australia","M","Import","764","THA","Thailand","0","W00","World","H6","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86003606.829","false","8","kg","86003606.829","false","86003606.829","false","0","false","84178661.429","79804413.331","84178661.429","0","false","true",
